date,ptt,set
6/1/2018,-4.875,-9.103
7/1/2018,1.625,5.224
8/1/2018,-0.153,-0.044
9/1/2018,0.234,0.813
10/1/2018,-3.913,-6.329
11/1/2018,-2.806,-2.939
12/1/2018,-4.345,-6.242
1/1/2019,0.788,3.348
2/1/2019,-1.59,-0.877
3/1/2019,-2.06,-2.511
4/1/2019,-0.947,0.486
5/1/2019,-3.936,-4.887
6/1/2019,0.606,4.896
7/1/2019,-3.047,-2.757
8/1/2019,-4.379,-4.919
9/1/2019,0.5,-2.495
10/1/2019,-2.349,-3.607
11/1/2019,-3.273,-1.993
12/1/2019,-0.453,-1.878
