date,SET,StTimes,KLSE
1/7/2000,-6.120190702,-3.010694848,0.748120931
1/14/2000,4.541138976,-0.563085907,12.59024492
1/21/2000,0.954596094,-4.884282947,2.733142181
1/28/2000,-0.307412645,0.281808228,-1.946577264
2/4/2000,-1.500360497,-1.144424021,2.333683971
2/11/2000,-3.069990464,-1.067696281,4.307245201
2/18/2000,-11.0631283,-2.609229948,1.337274285
2/25/2000,-0.414719432,-1.712040631,-1.056615101
3/3/2000,-5.960309831,-1.097856441,-5.569039975
3/10/2000,4.907226161,-0.986889933,-0.023201856
3/17/2000,-0.663228302,-0.084472565,-1.413822697
3/24/2000,1.09965034,2.439829844,3.72631758
3/31/2000,-0.954661188,-0.636163303,0.422698801
4/7/2000,0.778833702,0.836781983,-2.54972939
4/14/2000,2.689977574,1.808692547,-1.981926164
4/21/2000,-4.791468794,-5.12942558,-3.522402847
4/28/2000,-1.186579756,3.95114985,-0.07010399
5/5/2000,-2.70795523,-2.136698708,2.972035832
5/12/2000,-9.460773952,-4.425802082,-1.391669315
5/19/2000,-0.658861425,-1.703420328,4.075099075
5/26/2000,-9.243719953,-9.016738527,-7.201275208
6/2/2000,8.036697623,4.813004918,0.75233205
6/9/2000,0.60826187,6.691575765,-3.418209593
6/16/2000,0.915671859,-1.4999751,-2.958701581
6/23/2000,-3.299207459,1.092804418,-2.904768544
6/30/2000,-2.312697915,0.179751932,2.566954667
7/7/2000,-0.869624328,2.646743372,-1.560037443
7/14/2000,-2.283754982,-0.61066404,4.267336389
7/21/2000,-3.193884251,2.225647485,-2.98246509
7/28/2000,-4.709037297,-4.210218227,-3.925247955
8/4/2000,6.575948328,0.670131426,1.9702263
8/11/2000,1.649666403,2.324280733,-1.540660574
8/18/2000,0.824137281,3.944036464,2.103497773
8/25/2000,-3.955408116,-0.883775954,-2.511791563
9/1/2000,1.259792881,-0.25837837,-4.117342294
9/8/2000,-4.495656663,-1.194217766,-3.611948017
9/15/2000,-1.277182528,-3.885189052,1.715376887
9/22/2000,-6.755705118,-6.057014818,-1.747822912
9/29/2000,1.142496514,3.259304995,-3.587248399
10/6/2000,-3.527165271,-1.720244441,-0.556548596
10/13/2000,-5.143487172,-5.366711408,5.549557216
10/20/2000,8.421505371,3.344330149,3.787167038
10/27/2000,-0.820420618,1.92401249,1.540089164
11/3/2000,4.803655715,4.99589284,-3.968600822
11/10/2000,1.855251381,-3.721060768,-1.039183301
11/17/2000,0.503453797,-1.658015412,-2.332831853
11/24/2000,-3.203004231,1.565333264,-2.962831996
12/1/2000,-4.134475277,-1.490625058,1.675830565
12/8/2000,-0.062094788,0.263590913,1.069103783
12/15/2000,-0.190176702,-0.613049915,-4.610525522
12/22/2000,-2.250863175,-2.353758586,-0.579886078
12/29/2000,0.783176972,1.251814795,-2.434660201
1/5/2001,6.322817901,2.460108945,-1.40169132
1/12/2001,8.195081879,-2.824582331,1.292750829
1/19/2001,1.786358817,-0.675778891,2.271832089
1/26/2001,4.706642259,-0.052455165,2.917429306
2/2/2001,0.591389082,3.642910588,2.932551332
2/9/2001,-2.847707683,-0.163545582,-1.578241704
2/16/2001,-2.722105894,-0.091763358,-1.410264642
2/23/2001,2.574176873,-1.260728924,-0.266214726
3/2/2001,-5.773549502,-2.056064749,-1.368829775
3/9/2001,0.309926029,-0.468788632,-1.117058379
3/16/2001,-4.667513857,-6.88040005,-3.401265496
3/23/2001,-0.942998844,-3.25714617,-0.408565521
3/30/2001,0.580568112,-2.426435608,-3.309966109
4/6/2001,-3.457031129,-0.239806117,-11.44833642
4/13/2001,3.230701346,-4.757606237,0.678284631
4/20/2001,0.445312968,3.9164441,-0.985280736
4/27/2001,1.57008261,1.81059442,1.756334211
5/4/2001,3.071354074,1.669405392,-1.527298663
5/11/2001,1.441530607,-0.672288157,-1.040070002
5/18/2001,-3.365427079,-2.419019971,-2.367477764
5/25/2001,3.423301173,1.498958041,1.080821665
6/1/2001,0.304892962,-2.275433525,1.32867732
6/8/2001,0.073676627,3.436494044,0.775961416
6/15/2001,3.671867563,-0.079682213,2.353494085
6/22/2001,-1.649483433,0.629862613,-0.259914697
6/29/2001,1.21020784,0.558754772,0.863767988
7/6/2001,0.71977204,-3.882090893,5.546592896
7/13/2001,-3.307612335,-0.230280115,-0.926407446
7/20/2001,-0.651156184,-1.144770348,4.371428624
7/27/2001,-3.645897482,0.141529025,-0.378346692
8/3/2001,4.817474984,0.544721934,1.979261597
8/10/2001,-0.025323668,-0.481952075,-1.711954057
8/17/2001,2.309528112,-0.319744477,1.181158369
8/24/2001,2.722086841,-0.710258138,4.050963636
8/31/2001,1.018369241,-0.33849952,0.626265705
9/7/2001,1.991539364,-2.639019007,1.37159708
9/14/2001,-17.243833,-11.88061023,-7.776176355
9/21/2001,-4.799214876,-12.05353379,-5.849452431
9/28/2001,0.884640676,6.112445115,1.214811588
10/5/2001,1.376563177,4.874938403,-1.035669286
10/12/2001,1.445637971,2.198047582,0.380228595
10/19/2001,-0.087767037,-1.958700913,0.603423394
10/26/2001,-1.457607353,1.605737317,-0.425279476
11/2/2001,-2.299946374,-5.063526656,-2.607131603
11/9/2001,-2.253335987,1.567882314,0.468189134
11/16/2001,2.733546456,4.26644811,5.810050059
11/23/2001,7.42246194,2.501892422,0.662046282
11/30/2001,1.952046501,1.3852316,-0.236390075
12/7/2001,0.471426854,9.678843298,3.61705866
12/14/2001,-3.361239423,-4.415180979,0.392263863
12/21/2001,0.910805531,1.187695749,0.139936976
12/28/2001,2.384633593,3.054201585,3.920336324
1/4/2002,3.835325939,3.189110229,0.264239095
1/11/2002,2.1370745,1.501769416,1.370580921
1/18/2002,-1.57173545,-2.514824344,-0.643566224
1/25/2002,6.542979995,4.07297983,-0.711153696
2/1/2002,-0.692679343,2.880973683,3.574438869
2/8/2002,4.909423483,-2.558527662,-1.105107278
2/15/2002,5.349398769,1.817614503,1.543753179
2/22/2002,-5.993454846,-4.517846848,-1.587368158
3/1/2002,8.01828287,1.838442249,0.974674775
3/8/2002,2.593170069,4.401777481,4.103769934
3/15/2002,-3.453288294,-1.169126585,0.534928273
3/22/2002,3.109680592,1.236363939,0.131625326
3/29/2002,-4.025384278,0.167618579,0.459990339
4/5/2002,-1.064612039,-1.297744541,0.701146844
4/12/2002,2.572111593,-1.598122196,1.923799112
4/19/2002,1.796064674,-1.202000362,2.812399566
4/26/2002,-2.639906892,-0.144544623,0.377566523
