date,price
2002-01-01,1.3516205549240112
2002-01-02,1.3418257236480713
2002-01-03,1.3418257236480713
2002-01-04,1.3712091445922852
2002-01-07,1.3614147901535034
2002-01-08,1.3712091445922852
2002-01-09,1.3614147901535034
2002-01-10,1.3712091445922852
2002-01-11,1.3712091445922852
2002-01-14,1.3614147901535034
2002-01-15,1.3516205549240112
2002-01-16,1.3712091445922852
2002-01-17,1.3614147901535034
2002-01-18,1.3516205549240112
2002-01-21,1.3516205549240112
2002-01-22,1.3516205549240112
2002-01-23,1.3516205549240112
2002-01-24,1.3516205549240112
2002-01-25,1.3418257236480713
2002-01-28,1.3418257236480713
2002-01-29,1.3418257236480713
2002-01-30,1.3418257236480713
2002-01-31,1.3418257236480713
2002-02-01,1.3712091445922852
2002-02-04,1.3614147901535034
2002-02-05,1.3516205549240112
2002-02-06,1.3614147901535034
2002-02-07,1.3516205549240112
2002-02-08,1.3516205549240112
2002-02-11,1.3516205549240112
2002-02-12,1.3516205549240112
2002-02-13,1.3516205549240112
2002-02-14,1.3614147901535034
2002-02-15,1.3614147901535034
2002-02-18,1.3712091445922852
2002-02-19,1.3614147901535034
2002-02-20,1.3712091445922852
2002-02-21,1.3418257236480713
2002-02-22,1.3418257236480713
2002-02-25,1.3418257236480713
2002-02-26,1.3418257236480713
2002-02-27,1.3516205549240112
2002-02-28,1.3614147901535034
2002-03-01,1.4201805591583252
2002-03-04,1.410386562347412
2002-03-05,1.429975152015686
2002-03-06,1.4201805591583252
2002-03-07,1.429975152015686
2002-03-08,1.4201805591583252
2002-03-11,1.410386562347412
2002-03-12,1.4005920886993408
2002-03-13,1.3907978534698486
2002-03-14,1.3907978534698486
2002-03-15,1.3712091445922852
2002-03-18,1.381003737449646
2002-03-19,1.3907978534698486
2002-03-20,1.4005920886993408
2002-03-21,1.410386562347412
2002-03-22,1.4005920886993408
2002-03-25,1.4005920886993408
2002-03-26,1.410386562347412
2002-03-27,1.3907978534698486
2002-03-28,1.4005920886993408
2002-03-29,1.4005920886993408
2002-04-01,1.410386562347412
2002-04-02,1.4201805591583252
2002-04-03,1.3907978534698486
2002-04-04,1.4013340473175049
2002-04-05,1.39079749584198
2002-04-08,1.39079749584198
2002-04-09,1.4013340473175049
2002-04-10,1.3802610635757446
2002-04-11,1.3591886758804321
2002-04-12,1.3802610635757446
2002-04-15,1.3802610635757446
2002-04-16,1.3802610635757446
2002-04-17,1.369724988937378
2002-04-18,1.3591886758804321
2002-04-19,1.3486523628234863
2002-04-22,1.3486523628234863
2002-04-23,1.3486523628234863
2002-04-24,1.3275796175003052
2002-04-25,1.2854341268539429
2002-04-26,1.317043662071228
2002-04-29,1.2748982906341553
2002-04-30,1.222216010093689
2002-05-01,1.222216010093689
2002-05-02,1.2643616199493408
2002-05-03,1.2643616199493408
2002-05-06,1.2643616199493408
2002-05-07,1.3381165266036987
2002-05-08,1.3381165266036987
2002-05-09,1.3381165266036987
2002-05-10,1.3381165266036987
2002-05-13,1.3381165266036987
2002-05-14,1.3381165266036987
2002-05-15,1.3275796175003052
2002-05-16,1.3275796175003052
2002-05-17,1.3486523628234863
2002-05-20,1.3486523628234863
2002-05-21,1.39079749584198
2002-05-22,1.3802610635757446
2002-05-23,1.4013340473175049
2002-05-24,1.4013340473175049
2002-05-27,1.4013340473175049
2002-05-28,1.4224070310592651
2002-05-29,1.4118702411651611
2002-05-30,1.4224070310592651
2002-05-31,1.4118702411651611
2002-06-03,1.4224070310592651
2002-06-04,1.4118702411651611
2002-06-05,1.454015851020813
2002-06-06,1.4961612224578857
2002-06-07,1.538306474685669
2002-06-10,1.5593794584274292
2002-06-11,1.5172340869903564
2002-06-12,1.5699156522750854
2002-06-13,1.5909883975982666
2002-06-14,1.5804523229599
2002-06-17,1.548843264579773
2002-06-18,1.548843264579773
2002-06-19,1.4961612224578857
2002-06-20,1.4961612224578857
2002-06-21,1.475088357925415
2002-06-24,1.4961612224578857
2002-06-25,1.5066977739334106
2002-06-26,1.475088357925415
2002-06-27,1.475088357925415
2002-06-28,1.5172340869903564
2002-07-01,1.5172340869903564
2002-07-02,1.4961612224578857
2002-07-03,1.485625147819519
2002-07-04,1.485625147819519
2002-07-05,1.4961612224578857
2002-07-08,1.5066977739334106
2002-07-09,1.5066977739334106
2002-07-10,1.5066977739334106
2002-07-11,1.485625147819519
2002-07-12,1.5066977739334106
2002-07-15,1.5066977739334106
2002-07-16,1.485625147819519
2002-07-17,1.4961612224578857
2002-07-18,1.4961612224578857
2002-07-19,1.5066977739334106
2002-07-22,1.475088357925415
2002-07-23,1.475088357925415
2002-07-24,1.443479299545288
2002-07-25,1.443479299545288
2002-07-26,1.443479299545288
2002-07-29,1.454015851020813
2002-07-30,1.443479299545288
2002-07-31,1.443479299545288
2002-08-01,1.4645520448684692
2002-08-02,1.454015851020813
2002-08-05,1.454015851020813
2002-08-06,1.475088357925415
2002-08-07,1.475088357925415
2002-08-08,1.475088357925415
2002-08-09,1.5066977739334106
2002-08-12,1.5066977739334106
2002-08-13,1.5066977739334106
2002-08-14,1.538306474685669
2002-08-15,1.5909883975982666
2002-08-16,1.5804523229599
2002-08-19,1.548843264579773
2002-08-20,1.548843264579773
2002-08-21,1.5699156522750854
2002-08-22,1.5593794584274292
2002-08-23,1.5593794584274292
2002-08-26,1.5909883975982666
2002-08-27,1.5909883975982666
2002-08-28,1.5804523229599
2002-08-29,1.5699156522750854
2002-08-30,1.5909883975982666
2002-09-02,1.5909883975982666
2002-09-03,1.5804523229599
2002-09-04,1.5909883975982666
